label_id,num_rated,num_true
/m/0c3f7m,10,9
/m/04fq5q,10,2
/m/0l156k,10,6
/m/06hck5,9,7
/t/dd00077,10,8
/m/02bm9n,9,2
/m/01x3z,10,8
/m/07qjznt,9,9
/m/07qjznl,10,5
/m/0l7xg,9,1
/m/05zc1,10,7
/m/0llzx,10,9
/m/02x984l,10,7
/m/025wky1,7,2
/m/024dl,10,8
/m/01m4t,10,8
/m/0dv5r,10,9
/m/07bjf,7,4
/m/07k1x,10,10
/m/03l9g,9,7
/m/03p19w,10,5
/m/01b82r,10,10
/m/02p01q,9,5
/m/023vsd,9,5
/m/0_ksk,9,8
/m/01d380,9,7
/m/014zdl,10,10
/m/032s66,10,10
/m/04zjc,9,7
/m/02z32qm,10,1
/m/0_1c,10,8
/m/073cg4,10,2
/m/0g6b5,10,10
/g/122z_qxw,10,6
/m/07qsvvw,10,4
/m/07pxg6y,10,2
/m/07qqyl4,10,8
/m/083vt,10,7
/m/07pczhz,10,2
/m/07pl1bw,10,3
/m/07qs1cx,9,4
/m/039jq,10,9
/m/07q7njn,10,8
/m/07rn7sz,9,5
/m/04k94,9,9
/m/07rrlb6,10,9
/m/07p6mqd,10,7
/m/07qlwh6,10,2
/m/07r5v4s,10,5
/m/07prgkl,10,9
/m/07pqc89,9,7
/t/dd00088,10,6
/m/07p7b8y,10,8
/m/07qlf79,10,9
/m/07ptzwd,9,9
/m/07ptfmf,10,7
/m/0dv3j,10,3
/m/0790c,10,3
/m/0dl83,10,10
/m/07rqsjt,10,6
/m/07qnq_y,10,8
/m/07rrh0c,10,7
/m/0b_fwt,9,0
/m/02rr_,10,8
/m/07m2kt,7,4
/m/018w8,10,7
/m/07pws3f,10,5
/m/07ryjzk,9,8
/m/07rdhzs,9,9
/m/07pjjrj,9,7
/m/07pc8lb,10,8
/m/07pqn27,9,7
/m/07rbp7_,10,6
/m/07pyf11,9,3
/m/07qb_dv,10,5
/m/07qv4k0,10,2
/m/07pdjhy,10,8
/m/07s8j8t,10,0
/m/07plct2,9,3
/t/dd00112,10,7
/m/07qcx4z,10,5
/m/02fs_r,10,10
/m/07qwdck,10,7
/m/07phxs1,10,8
/m/07rv4dm,10,6
/m/07s02z0,9,4
/m/07qh7jl,9,1
/m/07qwyj0,10,2
/m/07s34ls,10,5
/m/07qmpdm,10,2
/m/07p9k1k,10,7
/m/07qc9xj,9,6
/m/07rwm0c,10,7
/m/07phhsh,10,8
/m/07qyrcz,8,4
/m/07qfgpx,10,3
/m/07rcgpl,9,5
/m/07p78v5,9,3
/t/dd00121,10,8
/m/07s12q4,10,7
/m/028v0c,10,10
/m/01v_m0,10,7
/m/0b9m1,6,1
/m/0hdsk,9,2
/m/0c1dj,8,3
/m/07pt_g0,8,5
/t/dd00125,9,8
/t/dd00126,9,7
/t/dd00127,9,5
/t/dd00128,9,8
/t/dd00129,9,9
/m/01b9nn,9,6
/m/01jnbd,10,5
/m/096m7z,10,5
/m/06_y0by,10,4
/m/07rgkc5,8,1
/m/06xkwv,10,3
/m/0g12c5,8,6
/m/08p9q4,9,3
/m/07szfh9,10,4
/m/0chx_,10,4
/m/0cj0r,6,2
/m/07p_0gm,10,6
/m/01jwx6,10,7
/m/07c52,10,7
/m/06bz3,8,8
/m/07hvw1,8,6
