# YTID, start_seconds, end_seconds, positive_labels
-QVqh513RxQ,15.0,25.0,"/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-QVqh513RxQ,15.0,25.0,"/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-QVqh513RxQ,15.0,25.0,"/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-QVqh513RxQ,15.0,25.0,"/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-QoZQDW4qjU,30.0,40.0,"/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136"
-QoZQDW4qjU,30.0,40.0,"/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136"
-QoZQDW4qjU,30.0,40.0,"/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136"
-QoZQDW4qjU,30.0,40.0,"/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136"
-QoZQDW4qjU,30.0,40.0,"/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136"
-R0267o4lLk,60.0,70.0,"/m/0239kh,/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md"
-Rl7NZwtVmA,40.0,50.0,/m/05_wcq
-Ry1YNVPPCM,9.0,19.0,"/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-Ry1YNVPPCM,9.0,19.0,"/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-Ry1YNVPPCM,9.0,19.0,"/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-Ry1YNVPPCM,9.0,19.0,"/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-Ry1YNVPPCM,9.0,19.0,"/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-XAxN0GUsLs,270.0,280.0,"/m/03vt0,/m/09f96,/m/0h2mp"
-XAxN0GUsLs,270.0,280.0,"/m/03vt0,/m/09f96,/m/0h2mp"
-XAxN0GUsLs,270.0,280.0,"/m/03vt0,/m/09f96,/m/0h2mp"
-XxJ50brqGw,30.0,40.0,"/m/09x0r,/t/dd00018"
-ZjxFZOaY50,30.0,40.0,"/m/025rv6n,/m/07qwf61,/m/0dbvp"
-ZjxFZOaY50,30.0,40.0,"/m/025rv6n,/m/07qwf61,/m/0dbvp"
-ZjxFZOaY50,30.0,40.0,"/m/025rv6n,/m/07qwf61,/m/0dbvp"
-aC8TJIZrtE,20.0,30.0,"/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t"
-aC8TJIZrtE,20.0,30.0,"/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t"
-aC8TJIZrtE,20.0,30.0,"/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t"
-aC8TJIZrtE,20.0,30.0,"/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t"
-aC8TJIZrtE,20.0,30.0,"/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t"
-aC8TJIZrtE,20.0,30.0,"/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t"
-cUFMQCB2dA,270.0,280.0,/m/0239kh
-efgThyiXWI,25.0,35.0,"/m/01yrx,/m/04rlf,/m/068hy,/m/07r81j2,/m/09x0r,/m/0jbk"
-efgThyiXWI,25.0,35.0,"/m/01yrx,/m/04rlf,/m/068hy,/m/07r81j2,/m/09x0r,/m/0jbk"
-efgThyiXWI,25.0,35.0,"/m/01yrx,/m/04rlf,/m/068hy,/m/07r81j2,/m/09x0r,/m/0jbk"
-efgThyiXWI,25.0,35.0,"/m/01yrx,/m/04rlf,/m/068hy,/m/07r81j2,/m/09x0r,/m/0jbk"
-fJlX1mKiv0,30.0,40.0,"/m/04rlf,/m/07qn4z3"
-fhW5GMgcI4,12.0,22.0,/m/07sx8x_
-fnhkx-XXeI,340.0,350.0,"/m/068zj,/m/09x0r,/m/0ch8v,/m/0jbk"
-fnhkx-XXeI,340.0,350.0,"/m/068zj,/m/09x0r,/m/0ch8v,/m/0jbk"
-fnhkx-XXeI,340.0,350.0,"/m/068zj,/m/09x0r,/m/0ch8v,/m/0jbk"
-g50tCLEsVM,40.0,50.0,"/m/078jl,/m/07rjwbb"
-g50tCLEsVM,40.0,50.0,"/m/078jl,/m/07rjwbb"
-gQg8z0ylFU,20.0,30.0,"/m/078jl,/m/07rjwbb"
-gQg8z0ylFU,20.0,30.0,"/m/078jl,/m/07rjwbb"
-hDuDDv0lbQ,30.0,40.0,"/m/04rlf,/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/0bt9lr,/m/0jbk"
-hDuDDv0lbQ,30.0,40.0,"/m/04rlf,/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/0bt9lr,/m/0jbk"
-hDuDDv0lbQ,30.0,40.0,"/m/04rlf,/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/0bt9lr,/m/0jbk"
-hDuDDv0lbQ,30.0,40.0,"/m/04rlf,/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/0bt9lr,/m/0jbk"
-hDuDDv0lbQ,30.0,40.0,"/m/04rlf,/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/0bt9lr,/m/0jbk"
-j3aoa1bEyA,9.0,19.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
-j3aoa1bEyA,9.0,19.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
-j3aoa1bEyA,9.0,19.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
-j3aoa1bEyA,9.0,19.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
-kBZeTTEOGc,90.0,100.0,"/m/015p6,/m/020bb7,/m/07r_25d,/m/0h0rv"
-kBZeTTEOGc,90.0,100.0,"/m/015p6,/m/020bb7,/m/07r_25d,/m/0h0rv"
-kBZeTTEOGc,90.0,100.0,"/m/015p6,/m/020bb7,/m/07r_25d,/m/0h0rv"
-kBZeTTEOGc,90.0,100.0,"/m/015p6,/m/020bb7,/m/07r_25d,/m/0h0rv"
-kt1BF31gIY,0.0,5.0,"/m/01yrx,/m/02yds9,/m/0jbk"
-kt1BF31gIY,0.0,5.0,"/m/01yrx,/m/02yds9,/m/0jbk"
-kt1BF31gIY,0.0,5.0,"/m/01yrx,/m/02yds9,/m/0jbk"
-oxF9jhY94s,1.0,11.0,"/m/01yrx,/m/068hy,/m/07r81j2"
-oxF9jhY94s,1.0,11.0,"/m/01yrx,/m/068hy,/m/07r81j2"
-oxF9jhY94s,1.0,11.0,"/m/01yrx,/m/068hy,/m/07r81j2"
-qGd1JwYLbQ,30.0,40.0,"/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
-qGd1JwYLbQ,30.0,40.0,"/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
-qGd1JwYLbQ,30.0,40.0,"/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
-qGd1JwYLbQ,30.0,40.0,"/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
-qGd1JwYLbQ,30.0,40.0,"/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
-qGd1JwYLbQ,30.0,40.0,"/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
-qJ-NY6wY3s,30.0,40.0,"/m/0bt9lr,/m/0ghcn6,/m/0jbk"
-qJ-NY6wY3s,30.0,40.0,"/m/0bt9lr,/m/0ghcn6,/m/0jbk"
-qJ-NY6wY3s,30.0,40.0,"/m/0bt9lr,/m/0ghcn6,/m/0jbk"
-qokdAl50qg,90.0,100.0,"/m/01h3n,/m/03vt0,/m/09f96,/m/09xqv,/m/0h2mp"
-qokdAl50qg,90.0,100.0,"/m/01h3n,/m/03vt0,/m/09f96,/m/09xqv,/m/0h2mp"
-qokdAl50qg,90.0,100.0,"/m/01h3n,/m/03vt0,/m/09f96,/m/09xqv,/m/0h2mp"
-qokdAl50qg,90.0,100.0,"/m/01h3n,/m/03vt0,/m/09f96,/m/09xqv,/m/0h2mp"
-qokdAl50qg,90.0,100.0,"/m/01h3n,/m/03vt0,/m/09f96,/m/09xqv,/m/0h2mp"
-r1H8hBeYmw,21.0,31.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
-r1H8hBeYmw,21.0,31.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
-r1H8hBeYmw,21.0,31.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
-r1H8hBeYmw,21.0,31.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
-r1H8hBeYmw,21.0,31.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
-skhG36uWM0,20.0,30.0,"/m/01z5f,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0ghcn6"
-skhG36uWM0,20.0,30.0,"/m/01z5f,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0ghcn6"
-skhG36uWM0,20.0,30.0,"/m/01z5f,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0ghcn6"
-skhG36uWM0,20.0,30.0,"/m/01z5f,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0ghcn6"
-u5yvewHxzE,30.0,40.0,"/m/04rlf,/m/07qn4z3"
-urYwYLrcMA,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
-urYwYLrcMA,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
-urYwYLrcMA,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
-urYwYLrcMA,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
-uuCV1W6jYk,80.0,90.0,/m/0239kh
-vUMGKGmNKE,50.0,60.0,"/m/03cczk,/m/068hy"
-ysNtKG8FlU,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/0jbk"
-ysNtKG8FlU,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/0jbk"
-ysNtKG8FlU,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/0jbk"
-ysNtKG8FlU,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/0jbk"
-zhDNCJ46Ls,30.0,40.0,"/m/04rlf,/m/07pjwq1"
0-3jSTs2Zsw,30.0,40.0,"/m/04rlf,/m/07q0h5t,/m/09x0r"
00mE-lhe_R8,16.0,26.0,/m/07qdb04
02q5C77_xeQ,250.0,260.0,"/m/068hy,/m/07pbtc8,/m/09x0r,/m/0bt9lr,/m/0jbk"
02q5C77_xeQ,250.0,260.0,"/m/068hy,/m/07pbtc8,/m/09x0r,/m/0bt9lr,/m/0jbk"
02q5C77_xeQ,250.0,260.0,"/m/068hy,/m/07pbtc8,/m/09x0r,/m/0bt9lr,/m/0jbk"
046ynbCwM90,30.0,40.0,"/m/04rlf,/m/04s8yn,/m/07r5c2p"
046ynbCwM90,30.0,40.0,"/m/04rlf,/m/04s8yn,/m/07r5c2p"
06OT6nqAuLM,50.0,60.0,"/m/03p19w,/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00125"
06OT6nqAuLM,50.0,60.0,"/m/03p19w,/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00125"
06OT6nqAuLM,50.0,60.0,"/m/03p19w,/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00125"
06k-cXmaeAY,30.0,40.0,"/m/07r_k2n,/m/09x0r"
07vCFDpflcQ,80.0,90.0,"/m/015p6,/m/09ddx"
07vCFDpflcQ,80.0,90.0,"/m/015p6,/m/09ddx"
09TC9Yj7SHM,30.0,40.0,"/m/07st88b,/m/09ld4"
09TC9Yj7SHM,30.0,40.0,"/m/07st88b,/m/09ld4"
0GmmPp502DA,30.0,40.0,"/m/03vt0,/m/09f96,/m/0h2mp"
0GmmPp502DA,30.0,40.0,"/m/03vt0,/m/09f96,/m/0h2mp"
0GmmPp502DA,30.0,40.0,"/m/03vt0,/m/09f96,/m/0h2mp"
0HVlzmjFe7k,20.0,30.0,"/m/04cvmfc,/m/0cdnk,/t/dd00129"
0HVlzmjFe7k,20.0,30.0,"/m/04cvmfc,/m/0cdnk,/t/dd00129"
0JDlM0Wolms,0.0,10.0,"/m/07pyy8b,/m/0jbk"
0K7573uICwg,21.0,31.0,"/m/04rlf,/m/07q0h5t"
0Kwzah-Rf70,40.0,50.0,/m/07qdb04
0L7-8yqgMEo,130.0,140.0,"/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk"
0L7-8yqgMEo,130.0,140.0,"/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk"
0L7-8yqgMEo,130.0,140.0,"/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk"
0NyrNJAXrIo,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/0jbk"
0NyrNJAXrIo,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/0jbk"
0NyrNJAXrIo,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/0jbk"
0NyrNJAXrIo,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/0jbk"
0RjFykTxCvc,30.0,40.0,"/m/025rv6n,/m/07qwf61,/m/0dbvp"
0RjFykTxCvc,30.0,40.0,"/m/025rv6n,/m/07qwf61,/m/0dbvp"
0RjFykTxCvc,30.0,40.0,"/m/025rv6n,/m/07qwf61,/m/0dbvp"
0SEHGxAQL18,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0SEHGxAQL18,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0SEHGxAQL18,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0SEHGxAQL18,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0SEHGxAQL18,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0TPOLU68O9s,8.0,18.0,"/m/04rlf,/m/07rv9rh,/m/09x0r"
0TUudXf0l54,30.0,40.0,"/m/07pggtn,/m/07qmpdm"
0X6CXKUbX6g,30.0,40.0,"/m/07qdb04,/m/09ddx,/m/09x0r,/m/0jbk"
0X6CXKUbX6g,30.0,40.0,"/m/07qdb04,/m/09ddx,/m/09x0r,/m/0jbk"
0X6CXKUbX6g,30.0,40.0,"/m/07qdb04,/m/09ddx,/m/09x0r,/m/0jbk"
0XRuJ6NW9yM,30.0,40.0,"/m/04rlf,/m/07qdb04"
0YHK15saav8,580.0,590.0,"/m/03fwl,/m/0jbk"
0YHK15saav8,580.0,590.0,"/m/03fwl,/m/0jbk"
0_R83lyXiaU,30.0,40.0,"/m/01h3n,/m/03l9g,/m/03vt0,/m/0h2mp"
0_R83lyXiaU,30.0,40.0,"/m/01h3n,/m/03l9g,/m/03vt0,/m/0h2mp"
0_R83lyXiaU,30.0,40.0,"/m/01h3n,/m/03l9g,/m/03vt0,/m/0h2mp"
0_utuoBWKmo,17.0,27.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0_utuoBWKmo,17.0,27.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0_utuoBWKmo,17.0,27.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0_utuoBWKmo,17.0,27.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0_utuoBWKmo,17.0,27.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0a3sS0cfsQk,370.0,380.0,/m/05_wcq
0aJ4ncKJqIg,280.0,290.0,"/m/03vt0,/m/09xqv"
0aJ4ncKJqIg,280.0,290.0,"/m/03vt0,/m/09xqv"
0aKuES6SO2k,50.0,60.0,"/m/015p6,/m/020bb7,/m/07pggtn"
0aKuES6SO2k,50.0,60.0,"/m/015p6,/m/020bb7,/m/07pggtn"
0aKuES6SO2k,50.0,60.0,"/m/015p6,/m/020bb7,/m/07pggtn"
0abfTrxjX-4,30.0,40.0,"/m/04rlf,/m/07qrkrw"
0aer7MFIYQk,50.0,60.0,"/m/01xq0k1,/m/07rpkh9,/m/0ch8v"
0aer7MFIYQk,50.0,60.0,"/m/01xq0k1,/m/07rpkh9,/m/0ch8v"
0aer7MFIYQk,50.0,60.0,"/m/01xq0k1,/m/07rpkh9,/m/0ch8v"
0ccK49fwj1o,90.0,100.0,"/m/01rd7k,/m/025rv6n,/m/07svc2k"
0ccK49fwj1o,90.0,100.0,"/m/01rd7k,/m/025rv6n,/m/07svc2k"
0ccK49fwj1o,90.0,100.0,"/m/01rd7k,/m/025rv6n,/m/07svc2k"
0eK_cwwvWAs,50.0,60.0,"/m/025rv6n,/m/07qwf61,/m/07st89h,/m/09b5t"
0eK_cwwvWAs,50.0,60.0,"/m/025rv6n,/m/07qwf61,/m/07st89h,/m/09b5t"
0eK_cwwvWAs,50.0,60.0,"/m/025rv6n,/m/07qwf61,/m/07st89h,/m/09b5t"
0eK_cwwvWAs,50.0,60.0,"/m/025rv6n,/m/07qwf61,/m/07st89h,/m/09b5t"
0f2A-lZYAnw,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
0f2A-lZYAnw,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
0f2A-lZYAnw,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
0f2A-lZYAnw,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
0f2A-lZYAnw,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
0fFIg5WLnm0,30.0,40.0,"/m/09x0r,/t/dd00018"
0h6dpegN0f4,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/09x0r,/m/0jbk"
0h6dpegN0f4,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/09x0r,/m/0jbk"
0h6dpegN0f4,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/09x0r,/m/0jbk"
0h6dpegN0f4,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/09x0r,/m/0jbk"
0jFN112eGVQ,21.0,31.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0jFN112eGVQ,21.0,31.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0jFN112eGVQ,21.0,31.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0jFN112eGVQ,21.0,31.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0jFN112eGVQ,21.0,31.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk"
0kdRxEiEGIs,190.0,200.0,"/m/01z5f,/m/03cczk,/m/068hy,/m/07pdhp0,/m/07pzfmf,/m/0bt9lr,/m/0jbk"
0kdRxEiEGIs,190.0,200.0,"/m/01z5f,/m/03cczk,/m/068hy,/m/07pdhp0,/m/07pzfmf,/m/0bt9lr,/m/0jbk"
0kdRxEiEGIs,190.0,200.0,"/m/01z5f,/m/03cczk,/m/068hy,/m/07pdhp0,/m/07pzfmf,/m/0bt9lr,/m/0jbk"
0kdRxEiEGIs,190.0,200.0,"/m/01z5f,/m/03cczk,/m/068hy,/m/07pdhp0,/m/07pzfmf,/m/0bt9lr,/m/0jbk"
0kuZvI5eQwg,30.0,40.0,"/m/015p6,/m/020bb7,/m/07r_25d,/m/0h0rv"
0kuZvI5eQwg,30.0,40.0,"/m/015p6,/m/020bb7,/m/07r_25d,/m/0h0rv"
0kuZvI5eQwg,30.0,40.0,"/m/015p6,/m/020bb7,/m/07r_25d,/m/0h0rv"
0kuZvI5eQwg,30.0,40.0,"/m/015p6,/m/020bb7,/m/07r_25d,/m/0h0rv"
0mkgZLfBqsg,30.0,40.0,"/m/04cvmfc,/m/04rlf,/m/0jbk,/t/dd00129"
0mkgZLfBqsg,30.0,40.0,"/m/04cvmfc,/m/04rlf,/m/0jbk,/t/dd00129"
0pJwADdUrRo,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
0pJwADdUrRo,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
0pJwADdUrRo,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
0pJwADdUrRo,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
0pJwADdUrRo,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk"
0pr3Huz6pq8,180.0,190.0,"/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk"
0pr3Huz6pq8,180.0,190.0,"/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk"
0pr3Huz6pq8,180.0,190.0,"/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk"
0qMF1IbyV3I,60.0,70.0,"/m/01280g,/m/0cdnk,/m/0jbk"
0qMF1IbyV3I,60.0,70.0,"/m/01280g,/m/0cdnk,/m/0jbk"
0qMF1IbyV3I,60.0,70.0,"/m/01280g,/m/0cdnk,/m/0jbk"
0qUXJz4HH_E,10.0,20.0,"/m/07ppn3j,/m/09x0r,/m/0jbk"
0qZ3tI4nAZE,6.0,16.0,"/m/07qrkrw,/m/09x0r"
0qbp0OtOvl4,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
0qbp0OtOvl4,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
0qbp0OtOvl4,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
0qbp0OtOvl4,30.0,40.0,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
0qri4nnfgQQ,30.0,40.0,"/m/07r81j2,/m/09x0r,/m/0jbk"
0qri4nnfgQQ,30.0,40.0,"/m/07r81j2,/m/09x0r,/m/0jbk"
0rhb_K228gA,30.0,40.0,"/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00136"
0rhb_K228gA,30.0,40.0,"/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00136"
0rhb_K228gA,30.0,40.0,"/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00136"
0rhb_K228gA,30.0,40.0,"/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00136"
0t2VTlFdpss,0.0,10.0,/m/06hps
1-fXYR9FTfM,30.0,40.0,"/m/07pjwq1,/m/09x0r"
10mtAupS0I4,0.0,10.0,"/m/07qrkrw,/m/09x0r"
11p3k7duyKc,30.0,40.0,"/m/03k3r,/m/07q5rw0,/m/09x0r,/m/0jbk"
11p3k7duyKc,30.0,40.0,"/m/03k3r,/m/07q5rw0,/m/09x0r,/m/0jbk"
11p3k7duyKc,30.0,40.0,"/m/03k3r,/m/07q5rw0,/m/09x0r,/m/0jbk"
14UdSeNlIlM,30.0,40.0,"/m/04rlf,/m/07qdb04,/m/09ddx"
14UdSeNlIlM,30.0,40.0,"/m/04rlf,/m/07qdb04,/m/09ddx"
16-gCmo355I,0.0,7.0,"/m/06hck5,/m/06wzb,/m/07rjwbb"
